receipt_no.,completion_time,details,transaction_status,paid_in,withdrawn,balance
MP920721,2025-03-07 10:37:17,Airtime Purchase,Completed,0.0,0.0,6750.04
MP118848,2025-05-21 10:37:17,Airtime Purchase,Completed,0.0,0.0,4856.32
MP845868,2025-04-01 10:37:17,Withdrawal at Agent,Completed,0.0,890.66,4103.32
MP585698,2025-02-02 10:37:17,Send Money,Completed,0.0,2616.1,7776.33
MP589821,2025-03-08 10:37:17,Airtime Purchase,Completed,0.0,0.0,5056.95
MP507259,2025-01-29 10:37:17,Withdrawal at Agent,Completed,0.0,2105.14,4043.4
MP617988,2025-01-25 10:37:17,Airtime Purchase,Completed,0.0,0.0,541.67
MP378847,2025-01-12 10:37:17,Send Money,Completed,0.0,2867.32,5854.73
MP388808,2025-02-11 10:37:17,Withdrawal at Agent,Failed,0.0,3764.16,1620.06
MP355172,2025-02-01 10:37:17,Withdrawal at Agent,Completed,0.0,1258.73,4940.02
MP932083,2025-03-29 10:37:17,Send Money,Completed,0.0,3071.44,6783.36
MP254001,2025-05-29 10:37:17,Withdrawal at Agent,Completed,0.0,1226.46,3062.19
MP553177,2025-05-06 10:37:17,Buy Goods,Completed,0.0,3980.32,5030.95
MP392527,2025-03-02 10:37:17,Withdrawal at Agent,Completed,0.0,112.61,7045.62
MP423239,2025-04-10 10:37:17,Deposit from M-PESA,Completed,4054.39,0.0,868.16
MP819862,2025-05-31 10:37:17,Withdrawal at Agent,Completed,0.0,4069.05,6246.21
MP622200,2025-04-15 10:37:17,Deposit from M-PESA,Completed,160.98,0.0,1478.18
MP169128,2025-04-29 10:37:17,Send Money,Completed,0.0,840.17,5643.32
MP360711,2024-12-31 10:37:17,Airtime Purchase,Completed,0.0,0.0,5064.39
MP976041,2025-02-03 10:37:17,Deposit from M-PESA,Completed,4674.09,0.0,6841.88
MP742181,2025-04-08 10:37:17,Withdrawal at Agent,Completed,0.0,287.82,2979.44
MP383781,2025-05-18 10:37:17,Withdrawal at Agent,Completed,0.0,4030.74,31.16
MP780388,2025-03-05 10:37:17,Buy Goods,Completed,0.0,4223.12,4865.64
MP427280,2024-12-28 10:37:17,Deposit from M-PESA,Completed,697.45,0.0,168.57
MP597531,2025-05-22 10:37:17,Send Money,Completed,0.0,2324.35,4975.96
MP776298,2025-04-06 10:37:17,Airtime Purchase,Completed,0.0,0.0,8634.28
MP371441,2025-04-28 10:37:17,Airtime Purchase,Completed,0.0,0.0,1635.58
MP507319,2025-05-05 10:37:17,Buy Goods,Completed,0.0,2663.97,2990.97
MP579514,2024-12-30 10:37:17,Deposit from M-PESA,Completed,1908.76,0.0,9175.15
MP736812,2025-02-10 10:37:17,Buy Goods,Completed,0.0,574.47,5924.98
MP751480,2025-04-03 10:37:17,Send Money,Completed,0.0,4042.15,6820.34
MP469065,2025-06-08 10:37:17,Buy Goods,Completed,0.0,4855.61,5768.35
MP149090,2025-03-16 10:37:17,Deposit from M-PESA,Completed,1795.24,0.0,6452.28
MP226047,2025-03-22 10:37:17,Airtime Purchase,Failed,0.0,0.0,3736.71
MP964787,2025-03-06 10:37:17,Send Money,Completed,0.0,176.59,7877.36
MP924036,2025-03-07 10:37:17,Deposit from M-PESA,Completed,3479.27,0.0,1069.87
MP414935,2025-03-24 10:37:17,Buy Goods,Completed,0.0,4601.26,3312.33
MP915862,2024-12-21 10:37:17,Buy Goods,Completed,0.0,3691.49,4544.62
MP313426,2025-02-15 10:37:17,Withdrawal at Agent,Completed,0.0,3318.63,6598.21
MP959833,2025-04-09 10:37:17,Deposit from M-PESA,Completed,3095.31,0.0,2298.94
MP722574,2025-01-23 10:37:17,Withdrawal at Agent,Completed,0.0,3237.39,8973.95
MP428499,2025-01-01 10:37:17,Send Money,Completed,0.0,1775.62,3436.4
MP407756,2025-01-17 10:37:17,Withdrawal at Agent,Completed,0.0,2444.62,1120.73
MP384935,2025-05-22 10:37:17,Withdrawal at Agent,Completed,0.0,4296.05,8749.48
MP407621,2025-01-02 10:37:17,Deposit from M-PESA,Completed,3793.3,0.0,4604.68
MP772237,2025-05-26 10:37:17,Deposit from M-PESA,Completed,2998.44,0.0,8363.86
MP936722,2025-05-11 10:37:17,Withdrawal at Agent,Completed,0.0,4413.18,2969.57
MP819802,2025-04-23 10:37:17,Withdrawal at Agent,Completed,0.0,2751.81,9915.05
MP876639,2025-02-26 10:37:17,Deposit from M-PESA,Completed,481.72,0.0,8421.22
MP563842,2025-06-18 10:37:17,Send Money,Completed,0.0,4977.38,149.43
MP393094,2025-02-03 10:37:17,Send Money,Completed,0.0,1625.13,6543.85
